Parsed from U.S. Senate disbursement reports (govinfo.gov). See README.md for methodology and known limitations.
source_doc,senator_flag,senator_name,bioguide_id,raw_office,funding_year,fiscal_year,congress_number,reference_page,document_number,date_posted,start_date,end_date,description,salary_flag,amount,payee,validation_status,category
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF,0,"84,249.96",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF MEMBER,0,"38,999.92",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF MEMBER,0,"40,999.96",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF MEMBER,0,"51,499.96",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF MEMBER,0,"85,500.00",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF MEMBER,0,"70,750.00",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF MEMBER,0,"44,999.92",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF MEMBER,0,"72,250.00",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF MEMBER,0,"71,249.92",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF FROM MAR. 11,0,"4,999.99",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF MEMBER,0,"75,249.96",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,DEPUTY STAFF DIRECTOR,0,"82,500.00",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF,0,"40,999.96",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF MEMBER TO MAR. 23,0,"80,733.33",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF MEMBER,0,"63,499.96",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,CHIEF CLERK,0,"85,500.00",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF MEMBER TO JAN. 30,0,"45,333.28",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF MEMBER,0,"77,499.92",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,STAFF ASSISTANT,0,"43,499.92",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF MEMBER,0,"80,374.92",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF MEMBER TO MAR. 23,0,"81,694.40",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF MEMBER,0,"84,499.92",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF MEMBER,0,"50,500.00",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF MEMBER,0,"80,374.92",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF MEMBER,0,"62,749.96",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF MEMBER TO MAR. 23,0,"68,758.33",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF MEMBER,0,"70,999.96",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF MEMBER,0,"75,750.00",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF MEMBER,0,"52,499.92",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF,0,"25,999.96",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF FROM FEB. 19,0,"19,986.73",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF,0,"40,999.96",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF MEMBER,0,"73,249.96",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF MEMBER,0,"84,249.96",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF MEMBER,0,"70,999.96",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,55,,,,,PROFESSIONAL STAFF MEMBER,0,"65,999.92",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,56,,,,,PROFESSIONAL STAFF MEMBER,0,"82,999.92",,unchecked,
113sdoc2,0,,,APPROPRIATIONS,2013,,113,56,,,,,PROFESSIONAL STAFF MEMBER,0,"46,000.00",,unchecked,
