reason,source_doc,reference_page,raw_office,payee,description,amount,detail
duplicate_rows_advisory,113sdoc22,55,APPROPRIATIONS,,PROFESSIONAL STAFF MEMBER,"85,657.45",appears 3x on same page
duplicate_rows_advisory,113sdoc22,56,APPROPRIATIONS,,PROFESSIONAL STAFF MEMBER,"83,749.93",appears 2x on same page
duplicate_rows_advisory,113sdoc22,56,APPROPRIATIONS,,PROFESSIONAL STAFF MEMBER,"84,249.93",appears 2x on same page
duplicate_rows_advisory,113sdoc22,76,MAJORITY WHIP (D),,LEADERSHIP AIDE,"30,000.00",appears 2x on same page
duplicate_rows_advisory,113sdoc22,76,MAJORITY WHIP (D),,LEGISLATIVE CORRESPONDENT,"17,587.46",appears 2x on same page
duplicate_rows_advisory,113sdoc22,86,MINORITY LEADER (R),,STAFF ASSISTANT,"17,499.96",appears 2x on same page
duplicate_rows_advisory,113sdoc22,120,SGT @ ARMS - CENTRAL OPERATIONS,,GENERAL CLEANING TECHNICIAN,"22,508.45",appears 2x on same page
duplicate_rows_advisory,113sdoc22,120,SGT @ ARMS - CENTRAL OPERATIONS,,PRINTING & REPROGRAPHICS SPECIALIST,"24,149.63",appears 2x on same page
duplicate_rows_advisory,113sdoc22,120,SGT @ ARMS - CENTRAL OPERATIONS,,GENERAL CLEANING TECHNICIAN,"21,518.60",appears 4x on same page
duplicate_rows_advisory,113sdoc22,123,SGT @ ARMS - CAPITOL DIVISION,,DOORKEEPER,"17,607.09",appears 3x on same page
duplicate_rows_advisory,113sdoc22,124,SGT @ ARMS - CAPITOL DIVISION,,DOORKEEPER,"17,607.09",appears 2x on same page
duplicate_rows_advisory,113sdoc22,124,SGT @ ARMS - CAPITOL DIVISION,,PAGE TO JAN. 24,"8,108.22",appears 28x on same page
duplicate_rows_advisory,113sdoc22,124,SGT @ ARMS - CAPITOL DIVISION,,PAGE FROM JAN. 27,"4,600.55",appears 24x on same page
duplicate_rows_advisory,113sdoc22,125,SGT @ ARMS - CAPITOL DIVISION,,PAGE FROM JAN. 27,"4,600.55",appears 5x on same page
duplicate_rows_advisory,113sdoc22,127,SGT @ ARMS - IT SUPPORT SERVICES,,CAPITOL TELEPHONE EXCHANGE OPERATOR,"23,903.91",appears 2x on same page
duplicate_rows_advisory,113sdoc22,127,SGT @ ARMS - IT SUPPORT SERVICES,,CAPITOL TELEPHONE EXCHANGE OPERATOR,"21,952.73",appears 2x on same page
duplicate_rows_advisory,113sdoc22,129,SGT @ ARMS - STAFF OFFICES,,SENIOR PROCUREMENT & CONTRACTING SPECIALIST,"64,579.33",appears 2x on same page
duplicate_rows_advisory,113sdoc22,130,SGT @ ARMS - STAFF OFFICES,,PRINCIPAL INFORMATION TECHNOLOGY SPECIALIST,"63,403.95",appears 2x on same page
duplicate_rows_advisory,113sdoc22,131,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES,,PRINCIPAL SYSTEMS ENGINEER,"63,403.95",appears 2x on same page
duplicate_rows_advisory,113sdoc22,132,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES,,PRINCIPAL SOFTWARE ENGINEER,"69,745.42",appears 2x on same page
duplicate_rows_advisory,113sdoc22,132,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES,,PRINCIPAL SYSTEMS ENGINEER,"59,494.34",appears 2x on same page
duplicate_rows_advisory,113sdoc22,132,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES,,SR INFORMATION TECHNOLOGY MANAGER,"75,323.17",appears 2x on same page
duplicate_rows_advisory,113sdoc22,133,SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES,,SENIOR SYSTEMS ENGINEER,"57,787.44",appears 2x on same page
duplicate_rows_advisory,113sdoc22,141,SECRETARY OF THE SENATE - ADMINISTRATIVE SERV.,,EMPLOYEE BENEFITS SPECIALIST 1,"34,117.17",appears 2x on same page
