reason,source_doc,reference_page,raw_office,payee,description,amount,detail
duplicate_rows_advisory,112sdoc10,450,SENATOR MARK BEGICH,,LEGISLATIVE ASSISTANT,"42,968.00",appears 2x on same page
duplicate_rows_advisory,112sdoc10,451,SENATOR MARK BEGICH,,LEGISLATIVE CORRESPONDENT,"21,553.92",appears 2x on same page
duplicate_rows_advisory,112sdoc10,451,SENATOR MARK BEGICH,,INTERN TO MAY. 25,"2,749.99",appears 2x on same page
duplicate_rows_advisory,112sdoc10,451,SENATOR MARK BEGICH,,INTERN FROM JUN. 6 TO AUG. 3,"2,899.99",appears 4x on same page
duplicate_rows_advisory,112sdoc10,451,SENATOR MARK BEGICH,,INTERN FROM SEP. 12,"1,139.99",appears 3x on same page
duplicate_rows_advisory,112sdoc10,482,SENATOR JEFF BINGAMAN,,INTERN FROM JUN. 1 TO JUN. 15,"1,000.00",appears 2x on same page
duplicate_rows_advisory,112sdoc10,482,SENATOR JEFF BINGAMAN,,INTERN FROM APR. 23 TO APR. 30,499.99,appears 2x on same page
duplicate_rows_advisory,112sdoc10,482,SENATOR JEFF BINGAMAN,,INTERN FROM MAY. 30 TO JUN. 30,"1,606.83",appears 2x on same page
duplicate_rows_advisory,112sdoc10,482,SENATOR JEFF BINGAMAN,,INTERN FROM JUL. 3 TO AUG. 3,"1,606.83",appears 4x on same page
duplicate_rows_advisory,112sdoc10,482,SENATOR JEFF BINGAMAN,,INTERN FROM JUL. 17 TO JUL. 31,505.54,appears 2x on same page
duplicate_rows_advisory,112sdoc10,495,SENATOR RICHARD BLUMENTHAL,,CONSTITUENT LIAISON,"22,999.96",appears 2x on same page
duplicate_rows_advisory,112sdoc10,495,SENATOR RICHARD BLUMENTHAL,,RESEARCH AIDE/OUTREACH ORGANIZER,"24,999.92",appears 2x on same page
duplicate_rows_advisory,112sdoc10,511,SENATOR ROY BLUNT,,LEGISLATIVE ASSISTANT,"30,000.00",appears 3x on same page
duplicate_rows_advisory,112sdoc10,512,SENATOR ROY BLUNT,,CASEWORKER,"18,750.00",appears 2x on same page
duplicate_rows_advisory,112sdoc10,512,SENATOR ROY BLUNT,,FIELD REPRESENTATIVE,"32,760.00",appears 2x on same page
duplicate_rows_advisory,112sdoc10,538,SENATOR JOHN BOOZMAN,,LEGISLATIVE ASSISTANT,"24,999.96",appears 4x on same page
duplicate_rows_advisory,112sdoc10,538,SENATOR JOHN BOOZMAN,,PROJECTS DIRECTOR,"24,999.96",appears 2x on same page
duplicate_rows_advisory,112sdoc10,539,SENATOR JOHN BOOZMAN,,LEGISLATIVE CORRESPONDENT,"18,499.92",appears 2x on same page
duplicate_rows_advisory,112sdoc10,571,SENATOR BARBARA BOXER,,LEGISLATIVE CORRESPONDENT,"22,999.92",appears 2x on same page
duplicate_rows_advisory,112sdoc10,571,SENATOR BARBARA BOXER,,CONSTITUENT REPRESENTATIVE,"20,999.96",appears 2x on same page
duplicate_rows_advisory,112sdoc10,606,SENATOR SHERROD BROWN,,CONSTITUENT SERVICES LIASON,"20,388.93",appears 2x on same page
duplicate_rows_advisory,112sdoc10,607,SENATOR SHERROD BROWN,,STAFF ASSISTANT,"14,749.98",appears 2x on same page
duplicate_rows_advisory,112sdoc10,607,SENATOR SHERROD BROWN,,LEGISLATIVE CORRESPONDENT,"15,999.96",appears 2x on same page
duplicate_rows_advisory,112sdoc10,640,SENATOR RICHARD BURR,,INTERN FROM AUG. 27,"1,699.99",appears 3x on same page
duplicate_rows_advisory,112sdoc10,654,SENATOR MARIA CANTWELL,,LEGISLATIVE CORRESPONDENT,"17,249.96",appears 2x on same page
duplicate_rows_advisory,112sdoc10,673,SENATOR BENJAMIN L CARDIN,,CASEWORKER,"33,249.96",appears 2x on same page
duplicate_rows_advisory,112sdoc10,681,SENATOR THOMAS R. CARPER,,INTERN FROM MAY. 30 TO AUG. 10,"2,563.85",appears 3x on same page
duplicate_rows_advisory,112sdoc10,698,"SENATOR ROBERT CASEY, JR.",,REGIONAL REPRESENTATIVE,"24,499.92",appears 2x on same page
duplicate_rows_advisory,112sdoc10,698,"SENATOR ROBERT CASEY, JR.",,REGIONAL MANAGER,"30,499.92",appears 2x on same page
duplicate_rows_advisory,112sdoc10,699,"SENATOR ROBERT CASEY, JR.",,LEGISLATIVE ASSISTANT,"30,000.00",appears 2x on same page
duplicate_rows_advisory,112sdoc10,714,SENATOR SAXBY CHAMBLISS,,STAFF ASSISTANT FROM AUG. 2,"5,368.03",appears 2x on same page
duplicate_rows_advisory,112sdoc10,762,SENATOR TOM COBURN,,CONSTITUENT SERVICES REPRESENTATIVE,"30,999.96",appears 4x on same page
duplicate_rows_advisory,112sdoc10,763,SENATOR TOM COBURN,,LEGISLATIVE ASSISTANT,"46,000.00",appears 2x on same page
duplicate_rows_advisory,112sdoc10,783,SENATOR THAD COCHRAN,,INTERN TO MAY. 20,"1,666.66",appears 2x on same page
duplicate_rows_advisory,112sdoc10,783,SENATOR THAD COCHRAN,,INTERN FROM MAY. 29 TO AUG. 3,"2,166.66",appears 8x on same page
