reason,source_doc,reference_page,raw_office,payee,description,amount,detail
unparseable_amount,113sdoc25,1079,SENATOR DEAN HELLER,JP MORGAN CHASE BANK NA,"AIRFARE FOR SEN HELLER AS FOLLOWS: 3/13, 27 WASHINGTON DC TO RENO; 3/20 VEGAS; 3",RENO TO LAS,
unparseable_amount,113sdoc25,1121,SENATOR JAMES M. INHOFE,"BOWMAN,JENNIFER LEE","WASHINGTON DC TO OKLAHOMA CITY, NORMAN, LAWTON, EDMOND, STILLWATER, TULSA RETURN",AND,
unparseable_amount,113sdoc25,1637,SENATOR CHARLES E. SCHUMER,JP MORGAN CHASE BANK NA,"AIRFARE FOR THE FOLLOWING: 3/13 SEN SCHUMER, 3/19 M DWORIN WASHINGTON YORK; 3/31",DC TO NEW,
