reason,source_doc,reference_page,raw_office,payee,description,amount,detail
unparseable_date,118sdoc2,217,FEDERAL EMPLOYEES COMPENSATION ACCOUNT,,BENEFITS FOR FORMER PERSONNEL,"$41,217.29",end_date=BENEFITS FOR FORMER PERSONNEL
unparseable_date,118sdoc2,218,FEDERAL EMPLOYEES COMPENSATION ACCOUNT,,BENEFITS FOR FORMER PERSONNEL,"$19,339.90",end_date=BENEFITS FOR FORMER PERSONNEL
unparseable_date,118sdoc2,239,RESERVE FOR CONTINGENCIES,,BENEFITS FOR FORMER PERSONNEL,"$328,786.00",end_date=BENEFITS FOR FORMER PERSONNEL
contaminated_office_name,118sdoc2,332,SECRETARY OF THE SENATE - (LIS PROJECT) Funding Year SECRETARY OF THE SENATE,JUSTSYSTEMS CANADA INC,SOFTWARE MAINT,"$43,784.00",
contaminated_office_name,118sdoc2,334,SECRETARY - FINANCIAL SYSTEM MODERNIZATION Funding Year SECRETARY OF THE SENATE,,TECHNICAL SUPPORT,"$17,500.00",
contaminated_office_name,118sdoc2,334,SECRETARY - FINANCIAL SYSTEM MODERNIZATION Funding Year SECRETARY OF THE SENATE,DEFINITIVE LOGIC CORPORATION,APPLICATION SOFTWARE MAINT,"$18,112.50",
contaminated_office_name,118sdoc2,334,SECRETARY - FINANCIAL SYSTEM MODERNIZATION Funding Year SECRETARY OF THE SENATE,DEFINITIVE LOGIC CORPORATION,APPLICATION SOFTWARE MAINT,"$18,112.50",
contaminated_office_name,118sdoc2,334,SECRETARY - FINANCIAL SYSTEM MODERNIZATION Funding Year SECRETARY OF THE SENATE,DEFINITIVE LOGIC CORPORATION,APPLICATION SOFTWARE MAINT,"$18,112.50",
contaminated_office_name,118sdoc2,334,SECRETARY - FINANCIAL SYSTEM MODERNIZATION Funding Year SECRETARY OF THE SENATE,DEFINITIVE LOGIC CORPORATION,APPLICATION SOFTWARE MAINT,"$18,112.50",
contaminated_office_name,118sdoc2,334,SECRETARY - FINANCIAL SYSTEM MODERNIZATION Funding Year SECRETARY OF THE SENATE,DEFINITIVE LOGIC CORPORATION,TECHNICAL SUPPORT,$12.11,
contaminated_office_name,118sdoc2,334,SECRETARY - FINANCIAL SYSTEM MODERNIZATION Funding Year SECRETARY OF THE SENATE,DEFINITIVE LOGIC CORPORATION,APPLICATION SOFTWARE MAINT,"$18,112.50",
contaminated_office_name,118sdoc2,334,SECRETARY - FINANCIAL SYSTEM MODERNIZATION Funding Year SECRETARY OF THE SENATE,CONSEQTA TECHNOLOGY LLC,IT SYSTEM DESIGN,"$7,333.32",
contaminated_office_name,118sdoc2,334,SECRETARY - FINANCIAL SYSTEM MODERNIZATION Funding Year SECRETARY OF THE SENATE,CONSEQTA TECHNOLOGY LLC,IT SYSTEM DESIGN,"$342,237.00",
contaminated_office_name,118sdoc2,334,SECRETARY - FINANCIAL SYSTEM MODERNIZATION Funding Year SECRETARY OF THE SENATE,CONSEQTA TECHNOLOGY LLC,IT SYSTEM DESIGN,"$344,286.96",
contaminated_office_name,118sdoc2,334,SECRETARY - FINANCIAL SYSTEM MODERNIZATION Funding Year SECRETARY OF THE SENATE,CONSEQTA TECHNOLOGY LLC,IT SYSTEM DESIGN,"$300,512.76",
contaminated_office_name,118sdoc2,334,SECRETARY - FINANCIAL SYSTEM MODERNIZATION Funding Year SECRETARY OF THE SENATE,CONSEQTA TECHNOLOGY LLC,IT SYSTEM DESIGN,"$16,001.70",
contaminated_office_name,118sdoc2,335,SECRETARY - SENATE COLLECTION Funding Year SECRETARY OF THE SENATE,COMPTON STUDIOS LLC,CONSERVATION SERVICES,"$7,300.00",
contaminated_office_name,118sdoc2,335,SECRETARY - SENATE COLLECTION Funding Year SECRETARY OF THE SENATE,AMELIA B JENSEN,CONSERVATION SERVICES,"$5,312.50",
contaminated_office_name,118sdoc2,335,SECRETARY - SENATE COLLECTION Funding Year SECRETARY OF THE SENATE,FALLON & WILKINSON LLC,CONSERVATION SERVICES,"$12,104.75",
contaminated_office_name,118sdoc2,335,SECRETARY - SENATE COLLECTION Funding Year SECRETARY OF THE SENATE,FALLON & WILKINSON LLC,CONSERVATION SERVICES,"$9,305.00",
contaminated_office_name,118sdoc2,335,SECRETARY - SENATE COLLECTION Funding Year SECRETARY OF THE SENATE,COMPLIANCE CONTROL INC,TECHNICAL SUPPORT,"$7,086.00",
contaminated_office_name,118sdoc2,335,SECRETARY - SENATE COLLECTION Funding Year SECRETARY OF THE SENATE,VON BAEYER CONSERVATION LLC,CONSERVATION SERVICES,"$1,982.50",
contaminated_office_name,118sdoc2,335,SECRETARY - SENATE COLLECTION Funding Year SECRETARY OF THE SENATE,CHRISTOPHER SHELTON CONSERVATION LLC,CONSERVATION SERVICES,"$24,480.00",
contaminated_office_name,118sdoc2,335,SECRETARY - SENATE COLLECTION Funding Year SECRETARY OF THE SENATE,FALLON & WILKINSON LLC,CONSERVATION SERVICES,"$9,939.00",
contaminated_office_name,118sdoc2,335,SECRETARY - SENATE COLLECTION Funding Year SECRETARY OF THE SENATE,FALLON & WILKINSON LLC,CONSERVATION SERVICES,"$4,643.25",
contaminated_office_name,118sdoc2,335,SECRETARY - SENATE COLLECTION Funding Year SECRETARY OF THE SENATE,CHRISTOPHER SHELTON CONSERVATION LLC,CONSERVATION SERVICES,"$4,245.00",
contaminated_office_name,118sdoc2,335,SECRETARY - SENATE COLLECTION Funding Year SECRETARY OF THE SENATE,FALLON & WILKINSON LLC,CONSERVATION SERVICES,"$7,695.00",
contaminated_office_name,118sdoc2,335,SECRETARY - SENATE COLLECTION Funding Year SECRETARY OF THE SENATE,FALLON & WILKINSON LLC,CONSERVATION SERVICES,"$11,844.50",
contaminated_office_name,118sdoc2,335,SECRETARY - SENATE COLLECTION Funding Year SECRETARY OF THE SENATE,FALLON & WILKINSON LLC,CONSERVATION SERVICES,"$5,042.00",
